GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bad-calculator,edu.pnu.badcalc,App,40,0,2,0,13,0,4,0,3,0
bad-calculator,edu.pnu.badcalc,Calculator,117,100,24,9,24,23,21,5,3,5
